Tweet,Topic Category (COVID-19 or elections),"Response Category (control, unverified, misleading, or prohibited)",Source (url)
"Move? Update your voter registration.
Got married? Update your voter registration.
Change your name? Update your voter registration.
Down pointing backhand indexDown pointing backhand indexDown pointing backhand indexDown pointing backhand index
http://register.vote.org",Elections,Control,https://twitter.com/votedotorg/status/1379203698845437958
"""The vote is the most powerful nonviolent tool we have.""
-John Lewis",Elections,Control,https://twitter.com/votedotorg?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
"Three easy things you can do to help: 
1) stay informed about voting legislation being passed in your state + contact your legislators
2) make sure your voter registration is up to date 
3) VOTE VOTE VOTE VOTE VOTE",Elections,Control,https://twitter.com/AmericaVotes/status/1376894480465285123
" During the 2020 General Election, our http://Vote.org food trucks gave thousands of meals away.
🗳 Now, we're back in #Georgia to ensure no one goes hungry while exercising their right to vote in the runoff.",Elections,Control,https://twitter.com/votedotorg/status/1339774467208323074
"🗓 Tomorrow is Vote Early Day: Georgia Edition!
Find everything you need to get #VoteReady (or should we say #RunoffReady) at http://vote.org/ga.",Elections,Control,https://twitter.com/votedotorg/status/1339710979043680261
"COVID-safe voting options during a global pandemic:

Envelope Vote by mail 
🗳 Vote early in person
Face with medical mask Mask up and head to the polls on Jan. 5

Find everything you need to vote (including the mask) at http://Vote.org.",Elections,Control,https://twitter.com/votedotorg/status/1336350580189630465
"Overseas and Military Georgia Voters: Your vote matters.

🗳 Make sure to register to vote before December 7th and request your ballot ASAP. 

Right pointing backhand index Get #VoteReady today: https://overseasvote.org",Elections,Control,https://twitter.com/votedotorg/status/1332780306164748290
,,,
"@celliottability
 
@fordnation
 can you please explain why the rest of the world is NOT in a lockdown nor is there mandatory masks and their Covid cases are low and not “deadly”. What is your point about positive cases ? #EndTheLockdowns #JUSTSAYNO #fake #TakeOffYourMask #idiots",COVID-19,Unverified,https://twitter.com/EYA1989miss/status/1381412273449754626
Is it true that a life insurance policy is null and void if you got the vaccine for #fake Covid? I heard yes!,COVID-19,Unverified,https://twitter.com/TruthHurtu2/status/1380973282950778882
"ONE YEAR AGO TODAY. 

ZACH LEVITON, 16, of Chicago, Illinois, died of COVID on April 13, 2020.

""When I lost my son Zach my world was crushed & forever changed. A movie buff, video-gamer, avid debater, dog lover...It was the simple things in life he loved the most.""",COVID-19,Unverified,https://twitter.com/FacesOfCOVID/status/1381955334743465992
"Today will be my 4th attempt to visit family in San Diego. My first attempt 12/2019, I got a blood clot and had to turn around and get to the hospital. 2nd try 3/2020, I had to cancel my flight because of Covid. 3rd, road trip canceled due to fires in Wa.,Oregon, and Calif.",COVID-19,Unverified,https://twitter.com/bebe1969/status/1381627742106480644
"A few weeks ago, Mexico acknowledged true Covid-19 death toll over 300K. Report today that Russian death toll ~ 400K+. Doubtful we will ever know the true toll from many countries due to lack of testing, lack of transparency and political machinations.",COVID-19,Unverified,https://twitter.com/V2019N/status/1381045106942169089
My wife and I had COVID19 dec 2020 & people at her work demand she still get the COVID19 vaccine.Why if we have antibodies???,COVID-19,Unverified,https://twitter.com/Drewjoh58811000/status/1382127675318415362
"I am total in favor of helping so many that lost loved ones, and incomes to covid19. However, I am having trouble understanding if the death toll is at >1/2 million, then, why did a million people apply? I know the reasonable answer, but that just sounds weird.",COVID-19,Unverified,https://twitter.com/davidual/status/1382127111847223296
"The COVID-19 virus contains HIV-like insertions, suggesting it was engineered.",COVID-19,Unverified,https://www.newsguardtech.com/covid-19-myths/
THE COVID-19 virus was stolen out of a Canadian lab by Chinese spies.,COVID-19,Unverified,https://www.newsguardtech.com/covid-19-myths/
THE COVID-19 pandemic was predicted in a simulation.,COVID-19,Unverified,https://www.newsguardtech.com/covid-19-myths/
A group funded by Bill Gates patended the COVID-19 virus.,COVID-19,Unverified,https://www.newsguardtech.com/covid-19-myths/
2020 U.S. Presidential Election in Virginia by Raw Vote Margin #ElectionTwitter #Election2020 #Virginia,Elections,Unverified,https://twitter.com/CharlieBAChen/status/1381597133816524804
BREAKING: Over 500 mail in ballots for Trump were dumped at Marysville Precinct in Michigan.,Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
People literally had their votes cancelled because they were given a sharpie at the polls.  Count those damn votes! ,Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Can confirm that I was handed a thin point sharpie to vote in Chandler, Arizona.  Still checking to confirm if my ballot was counted.",Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Totally normal that as soon as it was looking good for Trump, they stopped counting the votes.  People have to sleep!",Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
BREAKING: ABC is no longer giving Arizona to BIDEN!!! They have retracted and called it too close to call as Trump ballots POUR IN.  IT'S HAPPENING RT,Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
VICTORY for President @realDonaldTrump in PENNSYLVANIA !!,Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"I also love how @PressSec is been deleting her tweets, more than 130 of them!  That tells me how proud she is of the guy she worked for!! Like she never worked for @realDonaldTrump !!!",Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Trump has claimed, for Electoral Vote purposes, the Commonwealth of Pennsylvania (which won't allow legal observers) the State of Georgia, and the State of North Carolina, each one of which has a BIG Trump lead  Additionally, we hereby claim the State of Michigan... there was a large number of secretly dumped ballots as has been widely reported!",Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
NYT retracted their #Arizona call.  Why won't @FoxNews? ,Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"I am legitimately interested / confused by this.  I checked, and the top number is indeed Wisconsin's active registered voter number as of Nov. 1.  The bottom is approx. what has been counted.  That is a (not feasible) 89% turnout.",Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"The Milwauklee Journal Sentinel is claiming a 71% state turnout.  I'm not sure where it gets this, but that would make more sense, given even populous Milwaukee didn't exceed 83% turnout, and Dane lower.  (Do math on  what rest of state wud need to bump up state avg to 89)",Elections,Unverified,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
,,,
"I'm shopping and caring for a very vulnerable senior at home, and AstraZeneca is dangerous for my cohort (ages 30 to 55).",COVID-19,Misleading,https://twitter.com/sweetkeet/status/1380000667536875520?s=20
Every other person I hear of is testing #Covid positive. This virus is eating us all. Many others are down with viral. Taking this moment to pray for allFolded handsPleading facePleading face,COVID-19,Misleading,https://twitter.com/nidhiindiatv/status/1381836232079011840
Covid is a scam We can only stop it by stoping to test for it. The world elite ar at it #FakeCovid,COVID-19,Misleading,https://twitter.com/GidionAsaba/status/1374220446925778949
"Husband’s office never had a case of Covid until 2 months ago. 40 employees, all working in person since May of 2020. People started getting vaccinated and suddenly cases are occurring left and right. Makes you wonder...",COVID-19,Misleading,https://twitter.com/momof3_nj/status/1381310374864158724
"I take Zinc + quercetin. Zinc inhibits the replicase enzyme in cells, not allowing #COVID19 to make copies of itself and quercetin is an ionophore which allows zinc to enter cells. #StayNatural",COVID-19,Misleading,https://twitter.com/dsmready/status/1382067873380712450
"I'm no expert, but if hand sanitisers made with alcohol can kill coronavirus, surely if you stay permanently drunk until the crisis is over, you'll have enough alcohol in your bloodstream to protect yourself, right? Until I'm told otherwise by an expert, that's what I'm doing.",COVID-19,Misleading,https://www.ha-asia.com/10-twitter-posts-on-covid-19-that-mislead-the-world/
Carnivorous is an anagram of coronavirus.  Coincidence? We think NOT!,COVID-19,Misleading,https://www.ha-asia.com/10-twitter-posts-on-covid-19-that-mislead-the-world/
Solution to a lot of world's problems lie in India.  But you can't find them as long as you ridicule our ancient wisdom.  Cannabis is a magic plant.  Till mid-80s it was sold by Govt. Because of Rajiv Gandhi and western Pharma companies it got bad name.  Make cannabis legal.  Weed kills corona virus.,COVID-19,Misleading,https://www.ha-asia.com/10-twitter-posts-on-covid-19-that-mislead-the-world/
"#Hydroxychloroquine is founded 100% in #kalonji_seed so take 7 kalonji seed with Honey mix with hot water take before breakfast... To prevent yourself to be attacked from COVID-19 Corona virus... No side effects... No harm it's just precautions, suggested by experts",COVID-19,Misleading,https://www.ha-asia.com/10-twitter-posts-on-covid-19-that-mislead-the-world/
#yes we can prevent #coronavirus by adding #garlic in your daily routine #antibiotics can only kill #bacteria but not #virus #tropicalmedicine2020,COVID-19,Misleading,https://www.ha-asia.com/10-twitter-posts-on-covid-19-that-mislead-the-world/
"Brains behind new 5G data communications networks described below! New Bill Gates sponsored corona virus vaccine, w/ nano tech, will run everything and control everyone who are still necessary, like bots to serve the elite? Get your vaccine now?",COVID-19,Misleading,https://www.vox.com/recode/2020/5/11/21254889/twitter-coronavirus-covid-misinformation-warnings-labels
"I'm old enough to remember when multiple states stopped counting votes and said they would resume the next day, but didn't. Mysteriously, 1 candidate then had odd percentages. #ElectionFraud #2020Elections #DominionVotingMachines #DemocratsAreDestroyingAmerica #BidenCorruption",Elections,Misleading,https://twitter.com/LatishaMSnider/status/1381980141254012935
"I'm old enough to remember on the night of November 3/4 2020, the vote counting was stopped in Atlanta because of a fake ""flood"". The vote counting continued after the press and poll watchers were sent home. This is all on video. The election was stolen",Elections,Misleading,https://twitter.com/lsferguson/status/1381920802262687746
U.S. Postal Worker Caught at Canadian Border With Stolen Ballots In Car Trunk  ,Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"More Evidence Of Election Fraud Discovered As Ballots For Trump Are Found Tossed Into Spalding County, GA Dumpster.",Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"2020 ELECTION FRAUD ALERT: Active crime scene in Spalding County, Georgia where ballots for President Donald Trump were discovered in a dumpster.  Very similar to what we have seen in Michigan, Wisconsin, and Pennsylvania.  This story is developing.",Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"SIX THOUSAND Republican ballots were counted as Democrat in Antrim County, Michigan due to a computer glitch!  ""47 counties in Michigan may have also suffered from a similar glitch""",Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"A Texas Lawyer serving as a poll watcher in #Detroit shares photos and video of suspicious wagons, suitcases, and coolers moving in and out of a vote-counting center during the early morning, prompting more questions than answers. #election2020",Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
Biden voters are much more motivated than I originally imagined.  William here came back from the grave to support his candidate. @Wizard_Predicts,Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"So while everyone was asleep and after everyone went home, Democrats in Michigan magically found a trove of 138,339 votes, and all 138,339 of those ""votes"" magically went to Biden?  That doesn't look suspicious at all.",Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
,Elections,Misleading,
A postal worker charged with hiding mail was caught with three blank absentee ballots that had not been delivered to voters.,Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"The other thing I missed was ""they stopped counting"".  Has this ever happened in the history of our country?  There aren't enough American humans to keep counting in shifts in a 24 hour period?  Guess tehy needed to check the mail in ballot ""stock room"" this morning.",Elections,Misleading,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
,,,
"New mRNA Vaccines Could Cause Immune Cells to Attack Placenta Cells, Causing Female Infertility, Miscarriage or Birth Defects 
https://humansarefree.com/2020/12/mrna-vaccines-could-cause-female-infertility.html

Part of Bill Gates plan for depopulation?
#CovidVaccine",COVID-19,Prohibited,https://twitter.com/PeterSkipton/status/1336731376335212544?s=20
The COVID-19 virus is a manmade bioweapon.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
5G cell phone technology is linked to the coronavirus outbreak.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
Colloidal silver can cure COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
Miracle MIneral Solution can cure COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
Garlic can cure COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
High doses of vitamin C have been proven to be an effective treatment for COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
Lemon and hot water can cure COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
The Italian Covernment is preventing migrants from being tested for COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
Bill Gates plans to use COVID-19 to implement a mandatory vaccine program with microchips to surveil people.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
Getting a flu shot increases your risk of getting COVID-19.,COVID-19,Prohibited,https://www.newsguardtech.com/covid-19-myths/
"Just saw the vote tabulations. There is NO WAY Biden got 80,000,000 votes!!! This was a 100% RIGGED ELECTION.",Elections,Prohibited,https://variety.com/2020/digital/news/twitter-trump-200-disputed-misleading-claims-election-1234841137/
"The 2020 Election was a total scam, Trump won by a lot (and will hopefully turn over the fraudulent result).",Elections,Prohibited,https://variety.com/2020/digital/news/twitter-trump-200-disputed-misleading-claims-election-1234841137/
"Trump is up BIG, but they are trying to STEAL the Election.  Trump will never let them do it.  Votes cannot be cast after the Polls are closed!",Elections,Prohibited,https://www.giantfreakinrobot.com/tech/trump-tweets-flagged-election.html
"Last night Trump was leading, often solidly, in many key States, in almost all instances Democrat run & controlled.  Then, one by one, they started to magically disappear as surprise ballot dumps were counted.  VERY STRANGE, and the ""pollsters"" got it completely & historically wrong!",Elections,Prohibited,https://www.giantfreakinrobot.com/tech/trump-tweets-flagged-election.html
"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear - ASAP.  Likewise, Michigan and others!",Elections,Prohibited,https://www.giantfreakinrobot.com/tech/trump-tweets-flagged-election.html
"TRUMP WON THIS ELECTION, BY A LOT!",Elections,Prohibited,https://www.cnbc.com/2021/01/13/trump-tweets-legacy-of-lies-misinformation-distrust.html
"71,000,000 Legal Votes.  The most EVER for a sitting President!",Elections,Prohibited,https://www.cnbc.com/2021/01/13/trump-tweets-legacy-of-lies-misinformation-distrust.html
Trump will be making a statement tonight.  A big WIN!,Elections,Prohibited,https://www.cnbc.com/2021/01/13/trump-tweets-legacy-of-lies-misinformation-distrust.html
Trump has won Pennsylvania!,Elections,Prohibited,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"@PressSec Kayleigh is deleting recent tweets, presumably ahead of her new job search.  Nah, sis we are NEVER letting people forget what side of history your garbage was behind on. #Election2020",Elections,Prohibited, https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"This is messed up  Ballot observers are required, by law, to ba able to WATCH the counting.  Dem mayors are defying the law.  SHOCKING VIDEO FROM REGISTERED DEMOCRAT AND POLL WATCHER.  Get this ot the PRESIDENT @realDonaldTrump",Elections,Prohibited,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"BREAKING: Wisconsin has more voters than people who are registered to vote.  Total number of registered voters: 3,129,000.  Total number of votes cast: 3,239,920.  This is direct evidence of fraud.",Elections,Prohibited,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
,,,
BREAKING NEWS: Several Queens Village (NY) residents are receiving pre filled out ballots for Joe Biden and being told to just send them back to the Board of Elections.  This is blatantly ILLEGAL.,Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Washington, DC phony! @JoeBiden doesn't wear a mask on a plane - but wears one OUTSIDE!?",Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
This is our polling place in NE Philadelphia.  Already a violation in sight.  Bad things are happening in Philly.  @PhillyROCTeam @mikeroman @phillyvotes @Richzeoli @ChrisStigall @EddieCaiazzo @DomShow1210,Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
A poll watcher in Philly was just wrongfully prevented from entering the polling place #StopTheSteal,Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
WOW! George W. Bush endorses Biden for President.  THIS IS PHENOMENAL!! Share it! @BushForBiden,Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Please retweet.  Trump supporters are blocking access to polling sites at Clifton City Hall, New Jersey... this is a Class A Felony!! #VoterSuppression #ElectionDay",Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
Black Lives Matter blocking polls in #NC. We can't let them do this.  Patriots mount up and protect the poll stations. ,Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Been working at a poll station in Erie county, PA all morning.  A lot of people have already voted today :) I've thrown out over a hundred ballots for trump already!! Pennsylvania gonna turn blue 2020!!",Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
Supposedly piles of bricks mysteriously showing up in Chicago tonight.  Lovely! @PeterRQuinones @EricDJuly @HotepJesus @MonicaPerezShow @freedomactradio @ComicDaveSmith @ThaddeusRussel,Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"It's all being set up again I've been seeing posts their finding pallets of bricks in downtown Detroit!  This is the same thing that happened in Chicago, Boston, and New York right before they set off the riots!",Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Oh look! A Democratic committeewoman in north Philly wearing a Biden mask not letting certified Republican poll watchers into a polling place... She ends with ""that rule ain't worth being followed"" when someone says tehy should be allowed inside.",Elections,EXTRA,https://www.buzzfeednews.com/article/janelytvynenko/election-rumors-debunked
"Wearing a face mask can cause hypercapnia, a condition of too much carbon dioxide.",COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
Wearing a face mask will push the COVID-19 virus into your brain.,COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
George soros owns a lab in Wuhan where the coronavirus was created.,COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
The French Pasteur Institute patended the COVID-19 virus.,COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
The French government authorized euthanasia in the middle of the COVID-19 crisis.,COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
"In Europe, ""Contact tracing apps were automatically installed on people's smartphones without their consent""",COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
The COVID-19 virus was engineered in a laboratory at the University of North Carolina,COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
Dr. Anthony Fauci will personally profit from a COVID-19 vaccine,COVID-19,EXTRA,https://www.newsguardtech.com/covid-19-myths/
